item_id,name,category,price,short_description,designer,depth,height,width
80336433,GUBBARP,Bookcases & shelving units,3,Knob: 21 mm,H Preutz/A Fredriksson,27,No Record,No Record
87749600,OBSERVATÖR,Bookcases & shelving units,5,Cross-brace: 100 cm,IKEA of Sweden,No Record,No Record,No Record
70091412,TROFAST,Children's furniture,5,Storage box: 20x30x10 cm,Studio Copenhagen,No Record,10,30
91415,TROFAST,Children's furniture,5,Lid: 20x28 cm,Studio Copenhagen,No Record,No Record,28
90323393,FIXA,Bookcases & shelving units,5.6,Drill template,903.233.93 Drill template for marking the hole location of knobs or handles makes it easier for you to place them correctly.The strip on the drill template is put against the edge of the door or drawer front; helps you to place the handle perfectly straight vertically or horizontally.,No Record,No Record,64
50236487,ALGOT,Bookcases & shelving units,6,Mounting rail: 66 cm,Francis Cayouette,No Record,No Record,2
50218563,ALGOT,Bookcases & shelving units,6,Rod for brackets: 60 cm,Francis Cayouette,No Record,No Record,60
335885,SKÅDIS,Bookcases & shelving units,6,Connector for ALGOT,Eva Lilja Löwenhielm,2,4,5
50046152,HEDRA,Bookcases & shelving units,9,Knob: 32 mm,IKEA of Sweden,27,No Record,No Record
20218545,ALGOT,Bookcases & shelving units,9,Bracket: 38 cm,Francis Cayouette,38,No Record,2
10434187,ALGOT,Bookcases & shelving units,9,Bracket: 38 cm,Francis Cayouette,38,No Record,2
90336550,BENÖ,Outdoor furniture,9,Chair pad:  outdoor: 35 cm,Paulin Machado,No Record,No Record,No Record
10457999,BERGENES,Tables & desks,9,Holder for mobile phone/tablet,IKEA of Sweden,No Record,No Record,8
40401859,ALGOT,Bookcases & shelving units,10,Pull-out rail for baskets,Francis Cayouette,40,No Record,1
50308002,TROFAST,Children's furniture,10,Storage box: 42x30x10 cm,Studio Copenhagen,No Record,10,30
80089239,TROFAST,Children's furniture,10,Storage box: 42x30x10 cm,Studio Copenhagen,No Record,10,30
40466285,TROFAST,Children's furniture,10,Storage box: 42x30x10 cm,404.662.85 Fits in TROFAST frames.Can be stacked when completed with a lid.May be completed with TROFAST lid.,30,10,42
20302596,ISBERGET,Tables & desks,10,Tablet stand: 25x25 cm,Sarah Fager,25,9,25
80265143,BERTIL,Chairs,11.4,Chair pad: 33 cm,IKEA of Sweden,No Record,No Record,No Record
10428332,HYLLIS,Bookcases & shelving units,12,Cover: 60x27x74 cm,104.283.32 Suitable for both indoor and outdoor use.The cover is easy to put on and remove.Protects your things from dust.At the top of the cover there is an opening that allows air to circulate.You can also use the shelving unit with cover as a small greenhouse.,No Record,74,60
80334617,EKET,Bookcases & shelving units,12,Connection fittings,IKEA of Sweden,No Record,No Record,No Record
10273090,MÖLLARP,Bookcases & shelving units,12,Knob: 14 mm,K Hagberg/M Hagberg,25,No Record,No Record
80391716,FRÖSÖN,Outdoor furniture,14.4,Cover for chair cushion: 35 cm,Eva Lilja Löwenhielm,No Record,No Record,No Record
20312492,OBSERVATÖR,Bookcases & shelving units,15,Clip-on basket,Henrik Preutz,No Record,18,30
60419962,JONAXEL,Bookcases & shelving units,15,Wire basket: 25x51x15 cm,IKEA of Sweden,51,15,25
90394470,BOTTNA,Bookcases & shelving units,15,Book-end,K Hagberg/M Hagberg,No Record,15,13
90311069,OBSERVATÖR,Bookcases & shelving units,15,Clip-on basket,Henrik Preutz,No Record,18,30
50343147,BROR,Bookcases & shelving units,15,Hook for post: 7x5x3 cm 2 pack,IKEA of Sweden,5,7,3
10429987,JONAXEL,Bookcases & shelving units,15,Adjustable clothes rail: 46-82 cm,IKEA of Sweden,No Record,No Record,No Record
50293604,BESTÅ,Bookcases & shelving units,15,Supporting leg: 10 cm,IKEA of Sweden,No Record,10,No Record
70340044,EKET,Bookcases & shelving units,15,Foot:  adjustable,IKEA of Sweden,No Record,No Record,8
340047,EKET,Bookcases & shelving units,15,Suspension rail: 35 cm,IKEA of Sweden,1,4,29
60323592,BILLSBRO,Bookcases & shelving units,15,Handle: 40 mm,H Preutz/A Fredriksson,No Record,No Record,No Record
20334314,BILLSBRO,Bookcases & shelving units,15,Handle: 40 mm,H Preutz/A Fredriksson,No Record,No Record,No Record
60248418,FÖRSIKTIG,Chairs,15,Children's stool,K Hagberg/M Hagberg,24,13,37
410083,STRÅFLY,Chairs,15,Chair pad: 36 cm,IKEA of Sweden,No Record,No Record,No Record
95685100,TROFAST,Children's furniture,15,Storage box: 42x30x23 cm,Studio Copenhagen,No Record,23,30
30298023,TROFAST,Children's furniture,15,Storage box: 42x30x23 cm,Studio Copenhagen,No Record,23,30
30466281,TROFAST,Children's furniture,15,Storage box: 42x30x23 cm,304.662.81 Fits in TROFAST frames.Can be stacked when completed with a lid.May be completed with TROFAST lid.,30,23,42
50466275,TROFAST,Children's furniture,15,Storage box: 42x30x23 cm,504.662.75 Fits in TROFAST frames.Can be stacked when completed with a lid.May be completed with TROFAST lid.,30,23,42
80391839,DUVHOLMEN,Outdoor furniture,15,Inner cushion for chair cushion: 35 cm,IKEA of Sweden,No Record,No Record,No Record
60150176,BRÄDA,Tables & desks,15,Laptop support: 42x31 cm,Sarah Fager,31,9,42
90217972,ADILS,Tables & desks,15,Leg,902.179.72 Adjustable feet make the table stand steady also on uneven floors.Screws for fixing the legs to the table top are included.Suitable for table tops with a minimum thickness of 25 mm.,No Record,70,No Record
40261057,LINNMON,Tables & desks,15,Connecting fitting,IKEA of Sweden,No Record,No Record,No Record
434277,MÖJLIGHET,Tables & desks,15,Headset/tablet stand,Gustav Carlberg,No Record,No Record,No Record
40218554,ALGOT,Bookcases & shelving units,15.6,Shelf: 40x38 cm,Francis Cayouette,38,No Record,40
30449748,ANTILOP,Chairs,16,Supporting cushion,S Edholm/L Ullenius,No Record,No Record,No Record
20312604,STEGÖN,Outdoor furniture,16.2,Chair cushion:  outdoor: 35 cm,Lisel Garsveden,No Record,No Record,No Record
50347503,ENERYDA,Bookcases & shelving units,17,Knob: 20 mm,Francis Cayouette,No Record,No Record,No Record
70265247,MÖLLARP,Bookcases & shelving units,17,Handle: 106 mm,K Hagberg/M Hagberg,28,No Record,9
80339790,HACKÅS,Bookcases & shelving units,17,Knob: 15 mm,J Löfgren/J Pettersson,18,No Record,24
30236153,ORRNÄS,Bookcases & shelving units,17,Knob: 17 mm,IKEA of Sweden,30,No Record,17
20273141,HISHULT,Bookcases & shelving units,17,Knob: 23 mm,K Hagberg/M Hagberg,24,No Record,No Record
20347509,ENERYDA,TV & media furniture,17,Knob: 20 mm,Francis Cayouette,No Record,No Record,No Record
60391717,FRÖSÖN,Outdoor furniture,17.4,Cover for chair cushion: 44x44 cm,Eva Lilja Löwenhielm,44,No Record,44
10218517,ALGOT,Bookcases & shelving units,18,Mesh basket: 38x60x14 cm,Francis Cayouette,60,14,38
50282177,LACK,Bookcases & shelving units,19,Wall shelf: 30x26 cm,IKEA of Sweden,26,5,No Record
70364290,OLAUS,Bookcases & shelving units,19,Clip-on basket,IKEA of Sweden,No Record,15,13
70323600,BILLSBRO,Bookcases & shelving units,19,Handle: 120 mm,H Preutz/A Fredriksson,No Record,No Record,No Record
30141975,BERTIL,Chairs,19,Chair pad,IKEA of Sweden,No Record,No Record,No Record
90175000,JUSTINA,Chairs,19,Chair pad: 35/42x40x4.0 cm,IKEA of Sweden,40,No Record,No Record
60175006,JUSTINA,Chairs,19,Chair pad: 35/42x40x4.0 cm,IKEA of Sweden,40,No Record,No Record
90395813,JUSTINA,Chairs,19,Chair pad: 35/42x40x4.0 cm,IKEA of Sweden,40,No Record,No Record
20416593,HERDIS,Chairs,19,Chair pad: 37x37x1.8 cm,IKEA of Sweden,37,No Record,37
60304428,JUSTINA,Chairs,19,Chair pad: 35/42x40x4.0 cm,IKEA of Sweden,40,No Record,No Record
30429991,JONAXEL,Bookcases & shelving units,20,Top shelf for frame: 25x51 cm,IKEA of Sweden,No Record,No Record,51
90419965,JONAXEL,Bookcases & shelving units,20,Mesh basket: 25x51x15 cm,IKEA of Sweden,51,15,25
10218536,ALGOT,Bookcases & shelving units,20,Wall upright: 84 cm,Francis Cayouette,No Record,84,4
40104109,BILLY,Bookcases & shelving units,20,Corner fittings,IKEA of Sweden,No Record,No Record,No Record
80340048,EKET,Bookcases & shelving units,20,Suspension rail: 70 cm,IKEA of Sweden,1,4,63
50434185,ALGOT,Bookcases & shelving units,20,Wall upright: 84 cm,Francis Cayouette,No Record,84,4
80426928,ANTILOP,Chairs,20,Cover,S Edholm/L Ullenius,No Record,No Record,No Record
40454367,ANTILOP,Chairs,20,Cover,S Edholm/L Ullenius,No Record,No Record,No Record
40347508,ENERYDA,Bookcases & shelving units,22,Knob: 27 mm,Francis Cayouette,No Record,No Record,No Record
80322855,BERGHALLA,Bookcases & shelving units,22,Handle: 56 mm,H Preutz/A Fredriksson,32,No Record,9
30338415,BAGGANÄS,Bookcases & shelving units,22,Knob: 13 mm,H Preutz/A Fredriksson,24,No Record,13
347510,ENERYDA,Cabinets & cupboards,22,Knob: 27 mm,Francis Cayouette,No Record,No Record,No Record
30338420,BAGGANÄS,Cabinets & cupboards,22,Knob: 13 mm,H Preutz/A Fredriksson,24,No Record,13
60416572,SUNNEA,Chairs,22,Chair pad: 36x2.5 cm,IKEA of Sweden,No Record,No Record,No Record
60265163,BOLMEN,Chairs,22,Step stool,K Hagberg/M Hagberg,35,No Record,44
30416578,SUNNEA,Chairs,22,Chair pad: 36.0 cm,IKEA of Sweden,No Record,No Record,No Record
10150094,CILLA,Chairs,22,Chair pad: 34 cm,IKEA of Sweden,No Record,No Record,No Record
60338409,BAGGANÄS,TV & media furniture,22,Knob: 13 mm,H Preutz/A Fredriksson,24,No Record,13
60322856,BERGHALLA,TV & media furniture,22,Handle: 56 mm,H Preutz/A Fredriksson,32,No Record,9
80295526,BESTÅ,Bookcases & shelving units,25,Shelf: 56x16 cm,IKEA of Sweden,16,No Record,56
295554,BESTÅ,Bookcases & shelving units,25,Shelf: 56x36 cm,IKEA of Sweden,36,No Record,56
40347886,EDVALLA,Bookcases & shelving units,25,Drop handle: 18 mm,Francis Cayouette,11,No Record,33
20419964,JONAXEL,Bookcases & shelving units,25,Mesh basket: 50x51x15 cm,IKEA of Sweden,51,15,50
80430204,HYLLIS,Bookcases & shelving units,25,Cover: 60x27x140 cm,804.302.04 Suitable for both indoor and outdoor use.The cover is easy to put on and remove.Protects your things from dust.At the top of the cover there is an opening that allows air to circulate.You can also use the shelving unit with cover as a small greenhouse.,No Record,140,60
347888,EDVALLA,Bookcases & shelving units,25,Drop handle: 18 mm,Francis Cayouette,11,No Record,33
30284846,BESTÅ,Bookcases & shelving units,25,Suspension rail: 60 cm,IKEA of Sweden,No Record,No Record,No Record
10318159,IVAR,Bookcases & shelving units,25,Shelf: 42x30 cm,IKEA of Sweden,30,No Record,42
40348715,BESTÅ,Bookcases & shelving units,25,Drawer runner:  soft-closing,IKEA of Sweden,No Record,No Record,No Record
80419961,JONAXEL,Bookcases & shelving units,25,2 legs and 2 castors,IKEA of Sweden,No Record,No Record,No Record
348717,BESTÅ,Bookcases & shelving units,25,Drawer runner:  push-open,IKEA of Sweden,No Record,No Record,No Record
80261258,BESTÅ,Bookcases & shelving units,25,Soft closing/push-open hinge,"802.612.58 You can choose to use either the soft-closing or push-open function.With the push-opener you don’t need knobs or handles and can open the door with a light push.With the soft-closing function your doors close silently and softly. Knobs and handles are sold separately.If you choose the soft closing function for your BESTÅ, we recommend complementing the fronts with knobs/handles to make the drawers/cabinets more convenient to open.",No Record,No Record,No Record
295530,BESTÅ,Bookcases & shelving units,25,Glass shelf: 56x16 cm,IKEA of Sweden,16,No Record,56
50334303,BILLSBRO,Bookcases & shelving units,25,Handle: 120 mm,H Preutz/A Fredriksson,No Record,No Record,No Record
50357002,KALLRÖR,Bookcases & shelving units,25,Handle: 213 mm,IKEA of Sweden,38,No Record,No Record
10295539,BESTÅ,Cabinets & cupboards,25,Shelf: 56x16 cm,IKEA of Sweden,16,No Record,56
10209202,MALINDA,Chairs,25,Chair cushion: 40/35x38x7 cm,IKEA of Sweden,38,No Record,No Record
90184047,MARIUS,Chairs,25,Stool,Ola Wihlborg,No Record,No Record,40
10135659,MARIUS,Chairs,25,Stool,Ola Wihlborg,No Record,No Record,40
40202746,MALINDA,Chairs,25,Chair cushion: 40/35x38x7 cm,IKEA of Sweden,38,No Record,No Record
10331014,MALINDA,Chairs,25,Chair cushion: 40/35x38x7 cm,103.310.14 Hook and loop fasteners keep the chair cushion in place.The chair cushion has two identical sides so it can be turned over for even wear.Easy to keep clean since it is machine washable.,38,No Record,No Record
